Class Name,API Name,Number of Input Parameter,Input Parameter Types,List of Methods Invoked
Lcom/android/server/companion/CompanionDeviceManagerService,associate,4,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Landroid/companion/AssociationRequest>, <Application,Landroid/companion/IFindDeviceCallback>, <Application,Ljava/lang/String>]","['access$500', 'restoreCallingIdentity', 'access$400', 'access$300', 'checkUsesFeature', 'setComponent', '<init>', 'checkNotNull', 'of', 'clearCallingIdentity', 'getContext', 'bindServiceAsUser', 'checkCallerIsSystemOr']"
Lcom/android/server/companion/CompanionDeviceManagerService,disassociate,3,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]","['checkNotNull', 'access$300', 'checkUsesFeature', 'removeAssociation', 'checkCallerIsSystemOr']"
Lcom/android/server/companion/CompanionDeviceManagerService,getAssociations,3,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Ljava/lang/String>, <Primordial,I>]","['access$300', 'checkUsesFeature', 'access$100', '<init>', 'map', 'checkCallerIsSystemOr']"
Lcom/android/server/companion/CompanionDeviceManagerService,hasNotificationAccess,2,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Landroid/content/ComponentName>]","['contains', 'getContentResolver', 'checkCanCallNotificationApi', 'getPackageName', 'getString', '<init>', 'getContext']"
Lcom/android/server/companion/CompanionDeviceManagerService,requestNotificationAccess,2,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Landroid/content/ComponentName>]","['restoreCallingIdentity', 'getActivity', 'access$300', 'checkCanCallNotificationApi', 'unicodeWrap', 'launcherIntent', 'clearCallingIdentity', 'access$1200', 'getPackageManager', 'loadSafeLabel', 'toString', 'getPackageName', 'getInstance', 'getContext']"
Lcom/android/server/companion/CompanionDeviceManagerService,stopScan,4,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Landroid/companion/AssociationRequest>, <Application,Landroid/companion/IFindDeviceCallback>, <Application,Ljava/lang/String>]","['access$700', 'access$600', 'equals', 'access$900', 'access$800']"
Lcom/android/server/usb/UsbService$Lifecycle,allowUsbDebugging,3,"[<Application,Lcom/android/server/usb/UsbService>, <Primordial,Z>, <Application,Ljava/lang/String>]","['allowUsbDebugging', 'enforceCallingOrSelfPermission']"
Lcom/android/server/usb/UsbService$Lifecycle,clearDefaults,3,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Ljava/lang/String>, <Primordial,I>]","['checkStringNotEmpty', 'of', 'clearDefaults', 'getSettingsForProfileGroup', 'enforceCallingOrSelfPermission']"
Lcom/android/server/usb/UsbService$Lifecycle,clearUsbDebuggingKeys,1,"[<Application,Lcom/android/server/usb/UsbService>]","['clearUsbDebuggingKeys', 'enforceCallingOrSelfPermission']"
Lcom/android/server/usb/UsbService$Lifecycle,denyUsbDebugging,1,"[<Application,Lcom/android/server/usb/UsbService>]","['denyUsbDebugging', 'enforceCallingOrSelfPermission']"
Lcom/android/server/usb/UsbService$Lifecycle,getControlFd,2,"[<Application,Lcom/android/server/usb/UsbService>, <Primordial,J>]","['getControlFd', 'enforceCallingOrSelfPermission']"
Lcom/android/server/usb/UsbService$Lifecycle,getCurrentAccessory,1,"[<Application,Lcom/android/server/usb/UsbService>]",['getCurrentAccessory']
Lcom/android/server/usb/UsbService$Lifecycle,getCurrentFunctions,1,"[<Application,Lcom/android/server/usb/UsbService>]","['getCurrentFunctions', 'checkState', 'enforceCallingOrSelfPermission']"
Lcom/android/server/usb/UsbService$Lifecycle,getDeviceList,2,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Landroid/os/Bundle>]",['getDeviceList']
Lcom/android/server/usb/UsbService$Lifecycle,getPortStatus,2,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Ljava/lang/String>]","['getPortStatus', 'restoreCallingIdentity', 'checkNotNull', 'clearCallingIdentity', 'enforceCallingOrSelfPermission']"
Lcom/android/server/usb/UsbService$Lifecycle,getPorts,1,"[<Application,Lcom/android/server/usb/UsbService>]","['getPorts', 'restoreCallingIdentity', 'clearCallingIdentity', 'enforceCallingOrSelfPermission']"
Lcom/android/server/usb/UsbService$Lifecycle,getScreenUnlockedFunctions,1,"[<Application,Lcom/android/server/usb/UsbService>]","['getScreenUnlockedFunctions', 'checkState', 'enforceCallingOrSelfPermission']"
